timestamp,job_title,company,status,notes
2026-06-23 11:17:29,Consultant,Trigyn Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:17:49,Senior Data Engineer,Bradsol,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:18:42,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:18:51,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:19:00,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:20:41,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:20:51,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:21:02,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:23:21,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:40:00,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:40:11,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:40:39,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:40:59,Dotnet Developer (Windows & Web Applications),Enlightvision Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:53:24,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 13:14:23,Backend Systems Developer,Cogenthub,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:14:44,Sap Hybris Developer,Bounteous x Accolite,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:15:04,CDGC Developer,Blue Rock Management India,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:15:24,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:35:40,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 13:37:06,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 13:43:13,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 13:43:55,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:44:16,Dotnet Developer (Windows & Web Applications),Enlightvision Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:44:36,Game Designer,Gauravgo,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 13:44:55,Senior DevOps Engineer | Honeytech,Boosta,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:15:07,Sap Hybris Developer,Bounteous x Accolite,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:15:55,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:16:21,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:26:51,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:27:13,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:27:31,"Survey Programmer / Senior Survey Programmer | Remote | Delhi, India",Talentra Global Group,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:28:31,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:28:51,Dotnet Developer (Windows & Web Applications),Enlightvision Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:29:11,Game Designer,Gauravgo,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:29:31,Senior DevOps Engineer | Honeytech,Boosta,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:29:51,Consultant,Trigyn Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:32:13,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:32:33,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:34:39,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:34:55,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:35:09,"Survey Programmer / Senior Survey Programmer | Remote | Delhi, India",Talentra Global Group,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 14:35:24,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:35:43,Dotnet Developer (Windows & Web Applications),Enlightvision Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:36:03,Game Designer,Gauravgo,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 14:37:28,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-24 11:59:40,Java Full Stack Developer,Vrinda International Noida,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:00:20,Blockchain Professional,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:00:40,Full Stack Developer (Java + Angular),Mindwise Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:01:00,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-24 12:01:15,Node. Js Developer,Stackbox,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:01:35,Full-Stack Developer React / Node,Galaxywing It Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:01:55,Full Stack Developer,Fusiontecz,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:02:15,Sr. Software Engineer,Fundamento (formerly Skillr),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:02:35,Web Developer,Techbinge India,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:02:55,Guideware Developer (8+yoe ),ANTI-Ai PRIVATE LIMITED,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:03:15,Senior Software Engineer,Zuddl,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:03:35,Senior Full Stack Engineer Financial Product (API To UI),Mirian AI,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-24 12:05:36,Java Developer,Tangoe,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-24 12:08:16,Software Craftsperson - ROR+ React,Incubyte Datatech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:08:36,Senior Software Developer / Full Stack Developer,Sadhana It Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:08:56,AI Backend Developer,Nitsan Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:09:16,Full Stack Developer,Inceptory Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:09:36,Full Stack Developer,Drona Hq,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:09:56,Ruby on Rails Programmer,Avataa Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:10:27,Senior Full Stack Engineer Financial Product (API To UI),Mirian AI,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:10:47,Senior Software Engineer,Zuddl,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:11:07,Dot Net C# - Senior Software Developer,Route Mobile (RML),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:11:27,"Senior Software Engineer, Full Stack",Mostudio,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:11:47,Senior Java Developer,Immersive Infotech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:12:07,Full Stack Developer,E Tech Software,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:12:26,Senior Java Developer,Harris Global Business Services,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:12:46,Senior Java Developer,Harris Healthcare,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:13:06,BPI Developer Sr Developer,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:13:26,BPI Developer / Senior Developer,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:13:46,Full Stack Developer - Grant Management Platform - Pan india,Social Alpha,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:14:06,SENIOR SOFTWARE ENGINEER WITH DATA BACKGROUND,Svitla Systems,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:14:26,Senior Full Stack Java Software Engineer,Global Business Ser 4u,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:15:05,Sr. Software Engineer,Fundamento (formerly Skillr),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:15:25,Senior Software Developer / Full Stack Developer,Sadhana It Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:15:45,Java Developer(associate and senior Associate ),Insignia Consultancy Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:16:05,Senior AEM Developer,Bhasaka Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:16:24,Senior E Commerce Developer,"Kontoor Brands, Inc.",failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:16:44,Senior Software Engineer,Edifecs Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:17:16,Java Developer,Tangoe,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:17:36,Java Developer,MNJ Software,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:17:57,Java Developer,Ovitech Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:18:17,Java Developer,Crayontek,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:18:37,Java Developer,Weitglobal,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:18:57,Java Developer,Recruitly,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:19:17,Java Developer,Yellow Sapphire,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:19:37,Java Developer with AI Focus,Verdantis,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:19:56,Java Developers,JK Lucent,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:20:16,Mid Experience Java Developer,Crayontek,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:20:36,Java Developer,Irisidea,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:20:56,JAVA Developer,Citta Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:21:16,Java Developers,Sourcetrace Systems,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:21:36,Java Developer,Iris Info,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:21:56,Java Developer,NTK Creative Tech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:22:16,Java Developer,Gokool Software Labs,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:22:37,"Java + Selenium Developer, Pan India",Virtualware Innovations,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:22:57,Java Spark Developer,Overture Rede,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:23:17,Java Mirco Services Developer,Insignia Consultancy Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:23:37,Senior Java Developer,Immersive Infotech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:24:08,Senior Java Developer,Immersive Infotech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:24:28,Sr. Java Developer,MNJ Software,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:24:48,Java Developer(associate and senior Associate ),Insignia Consultancy Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:25:08,Senior Java Developer,Harris Global Business Services,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:25:28,Senior Java Developer,Harris Healthcare,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:25:48,Senior Java Developer,Innovya Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:26:09,Senior Java Developer,Virtualware Innovations,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:26:29,Senior Java Developer,Virtualware Innovations,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:26:49,senior Java developer,Green Clover,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:27:09,Senior Software Engineer,Zuddl,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:27:29,Senior Software Engineer,Edifecs Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:27:49,Sr. Software Engineer,Fundamento (formerly Skillr),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:28:09,Software Engineer,Versante Software Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:28:46,Dot Net C# - Senior Software Developer,Route Mobile (RML),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:29:06,"Senior Engineer, PHP Drupal",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:29:26,Senior Software Developer / Full Stack Developer,Sadhana It Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:29:46,Senior Software Developer,Sahajseva Digital Consultancy,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:30:06,Senior Software Developer Applications,Learntastic,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:30:27,Senior Software Developer Applications,Learntastic,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:30:57,Backend Developer (MERN | PostgreSQL),Stacklab,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:31:18,Backend Developer,Indium Corporation,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:31:38,"Associate Staff Engineer, Frontend AngularJS",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:31:58,"Associate Staff Engineer, Cloud",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:32:19,Java Full Stack Developer,Vrinda International Noida,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:32:39,Sr. Software Engineer,Fundamento (formerly Skillr),failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:32:59,"Associate Staff Engineer, Mobile Cross Platform",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:33:20,"Associate Staff Engineer, .Net Web",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:33:40,Senior Software Engineer,Zuddl,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:34:01,Associate Staff Engineer,Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:34:21,Embedded IoT Developer Fresher Experienced,ELK Education,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:34:41,Embedded IoT Developer Fresher Experienced,ELK Education,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:35:02,Software Developer,Fasyl Technology Group,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:35:22,"Associate Staff Engineer, Java Application Support",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:35:42,Senior Java Developer,Immersive Infotech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:36:03,"Associate Staff Engineer ,Fastapp Developer",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:36:23,Java Developer(associate and senior Associate ),Insignia Consultancy Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:36:43,App Developer,Techbinge India,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:37:03,SAP CPI Freelancer & Permanent professional,Spanbix Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:37:24,FullStack Engineer,Rocketdevs,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:37:55,"Java + Microservices Developers, Pan India",Virtualware Innovations,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:38:15,Java + Microservices Developers,Virtualware Innovations,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:38:36,Backend Developer (MERN | PostgreSQL),Stacklab,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:38:56,"Associate Staff Engineer, Frontend AngularJS",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:39:17,"Associate Staff Engineer, Cloud",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:39:37,"Associate Staff Engineer, Python",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:39:57,Wcs Developer,Moptra Infotech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:40:17,"Associate Staff Engineer, Mainframe",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:40:37,"Associate Staff Engineer, .Net Web",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:40:58,"Associate Staff Engineer, PHP Drupal",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:41:18,"Associate Staff Engineer, ERP",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:41:38,"Associate Staff Engineer, Sharepoint",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:41:59,"Associate Staff Engineer, PHP Magento",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:42:19,"Associate Staff Engineer, Frontend",Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:42:39,Senior Software Engineer,Zuddl,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:42:59,Associate Staff Engineer,Nagarro,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:43:19,Part-Time Node.js Developer with Java Experience,Modestack Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:43:40,Embedded IoT Developer Fresher Experienced,ELK Education,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:44:00,Embedded IoT Developer Fresher Experienced,ELK Education,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:44:20,Database & NoSQL Engineer,Octobit8,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:44:51,Backend Developer,Indium Corporation,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:45:11,Backend Developer,Junky Tech India,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:45:31,Backend Developer,Invoked Digital,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:45:52,AI Backend Developer,Nitsan Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:46:12,Backend Developer,Mobile Programming,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:46:32,Backend Developer,Spherecode,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:46:52,Backend Developer,Tab32,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:47:13,backend Developer,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:47:33,Backend developer,Androcid,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:47:53,Backend Dotnet Developer,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:48:14,Backend Developer (MERN | PostgreSQL),Stacklab,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:48:34,Senior SFMC Backend Developer,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:48:54,Python Backend Developer,BSH Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 12:49:14,Backend Developer,Pocket Fm,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:08:15,Urgent Hiring: Java Full Stack Developer (Night Shift),Jade Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:08:35,GenAI Developer,HackerEarth,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:08:55,Full stack Architect(freelancer/consultant),Codevian Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:09:59,Java Full Stack Developer,Vrinda International Noida,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:10:19,MERN Stack Developer,TCM Stunner It Consultants,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:10:39,Blockchain Professional,Sparix Global,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:11:00,Full Stack Developer (Java + Angular),Mindwise Technologies,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:11:20,Full Stack Developer,E4 Software Services,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-24 19:11:40,Wcs Developer,Moptra Infotech,needs_manual_review,Chatbot flow stalled or needs manual attention.
